areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
All Downtown,Manhattan,submarket,6725.0,6500.0,6750.0,6995.0,6800.0,6000.0,6000.0,6000.0,8300.0,8000.0,7950.0,7398.0,7500.0,7850.0,7500.0,6995.0,6750.0,7200.0,6725.0,7000.0,8000.0,9000.0,9000.0,8500.0,8500.0,7500.0,6993.0,6895.0,6725.0,6695.0,5800.0,6200.0,6900.0,6995.0,6695.0,6995.0,6500.0,6775.0,7000.0,6500.0,6300.0,5995.0,5500.0,5500.0,5695.0,6000.0,6412.0,6473.0,6398.0,6900.0,6950.0,6425.0,6190.0,6500.0,6000.0,6200.0,6225.0,6413.0,6000.0,6095.0,6395.0,6750.0,6995.0,6473.0,6300.0,6050.0,5800.0,6048.0,7000.0,7995.0,7795.0,7085.0,7500.0,7500.0,7500.0,6995.0,6795.0,6788.0,6500.0,6495.0,7195.0,7100.0,7500.0,7495.0,6995.0,6795.0,6500.0,6144.0,6265.0,5995.0,5900.0,5950.0,6125.0,6750.0,7000.0,7000.0,7333.0,7200.0,6750.0,6200.0,6300.0,5995.0,5931.0,6000.0,6000.0,6060.0
All Midtown,Manhattan,submarket,7900.0,8000.0,6800.0,5900.0,6250.0,7125.0,7500.0,7500.0,7650.0,7900.0,7798.0,7999.0,7900.0,8100.0,8000.0,7495.0,7280.0,8500.0,8625.0,7975.0,9000.0,8498.0,7448.0,7448.0,8495.0,8500.0,8495.0,7995.0,9000.0,8925.0,7800.0,7400.0,7500.0,7050.0,7450.0,7225.0,6412.0,6740.0,6500.0,6750.0,6710.0,7000.0,6895.0,6200.0,6000.0,6300.0,6850.0,6900.0,6375.0,6995.0,6893.0,6500.0,6500.0,6468.0,6275.0,6500.0,6950.0,6500.0,6750.0,6500.0,6539.0,6500.0,6412.0,6450.0,6295.0,5900.0,5973.0,5915.0,6125.0,6450.0,6500.0,6898.0,6728.0,6750.0,6705.0,6498.0,6395.0,6613.0,6209.0,6000.0,6013.0,6350.0,6500.0,6641.0,6900.0,6900.0,6900.0,6500.0,6200.0,6200.0,6000.0,5995.0,6300.0,5800.0,6000.0,6273.0,6230.0,6200.0,6298.0,6050.0,5900.0,5775.0,5750.0,5800.0,5995.0,5959.0
All Upper East Side,Manhattan,submarket,8950.0,9000.0,9900.0,8400.0,8100.0,7725.0,7500.0,7100.0,7648.0,7825.0,8550.0,7500.0,7825.0,8990.0,9500.0,9500.0,8963.0,8500.0,8600.0,8950.0,10000.0,9500.0,9575.0,9650.0,11000.0,9950.0,10998.0,10998.0,9900.0,9300.0,8995.0,8995.0,10700.0,10000.0,9800.0,10400.0,9995.0,9950.0,9995.0,9925.0,9995.0,9995.0,8500.0,8000.0,8950.0,8775.0,8995.0,8750.0,8500.0,8200.0,9000.0,8050.0,9500.0,8295.0,8700.0,7995.0,8120.0,8495.0,9675.0,10000.0,10150.0,9750.0,8475.0,8425.0,7500.0,7500.0,7373.0,7600.0,7142.0,7500.0,7973.0,8000.0,8250.0,8769.0,8500.0,8900.0,8800.0,8500.0,8000.0,8175.0,8996.0,8590.0,8500.0,8500.0,8900.0,9440.0,8995.0,9200.0,8250.0,7500.0,7498.0,7273.0,8338.0,7950.0,7675.0,7917.0,7675.0,8500.0,8100.0,8500.0,7917.0,7375.0,6850.0,6998.0,7973.0,7895.0
All Upper Manhattan,Manhattan,submarket,2700.0,2673.0,2600.0,2795.0,2800.0,2600.0,2600.0,2700.0,2700.0,2600.0,2400.0,2400.0,2400.0,2500.0,2595.0,2750.0,2799.0,2800.0,3100.0,2845.0,3000.0,3000.0,2850.0,2875.0,2997.0,2900.0,2995.0,3195.0,3000.0,2800.0,2850.0,2800.0,2850.0,2900.0,2925.0,2850.0,2800.0,2850.0,2900.0,2800.0,2900.0,2950.0,3000.0,3100.0,3000.0,3000.0,3000.0,2950.0,3000.0,2993.0,2850.0,3000.0,3000.0,2995.0,3000.0,3000.0,3000.0,3069.0,2995.0,2953.0,2950.0,2950.0,2900.0,2995.0,3000.0,3138.0,3200.0,3200.0,3211.0,3200.0,3000.0,3000.0,3000.0,3000.0,3150.0,3200.0,3200.0,3200.0,3200.0,3200.0,3207.0,3300.0,3200.0,3080.0,3100.0,3000.0,3040.0,3162.0,3250.0,3250.0,3295.0,3200.0,3200.0,3073.0,2999.0,2996.0,2996.0,3000.0,3099.0,3195.0,3250.0,3295.0,3295.0,3300.0,3249.0,3025.0
All Upper West Side,Manhattan,submarket,7000.0,7000.0,7000.0,7950.0,8995.0,8500.0,7225.0,7500.0,8000.0,8448.0,8998.0,7999.0,8500.0,8925.0,9000.0,8900.0,8495.0,8000.0,7900.0,7975.0,8348.0,8498.0,8925.0,8500.0,9000.0,8995.0,9500.0,9940.0,9000.0,9500.0,8875.0,8461.0,8500.0,8995.0,8948.0,9000.0,8500.0,8598.0,9198.0,8800.0,8500.0,8500.0,8000.0,7750.0,9275.0,9000.0,8500.0,8400.0,8100.0,8973.0,8600.0,9200.0,9000.0,9000.0,8725.0,8725.0,8425.0,8448.0,8850.0,8900.0,9400.0,9000.0,9500.0,9416.0,8640.0,8013.0,8500.0,8453.0,8995.0,9000.0,8950.0,9500.0,8898.0,9148.0,8500.0,8750.0,8250.0,7995.0,8000.0,7750.0,8000.0,7648.0,7865.0,8143.0,8500.0,8750.0,8500.0,8500.0,7500.0,7463.0,6995.0,6750.0,6950.0,6995.0,7000.0,7448.0,7242.0,7175.0,6995.0,6999.0,7000.0,6985.0,6000.0,6800.0,7000.0,6998.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,2000.0,2150.0,2100.0,2050.0,2000.0,2150.0,,,,,,,,,,,2250.0,2300.0,,,,,2450.0,2500.0,2500.0,3000.0,2850.0,2975.0,2500.0,3300.0,3275.0,3275.0,,2650.0,2500.0,2700.0,2500.0,2599.0,2700.0,3000.0,2850.0,2800.0,2650.0,2750.0,2900.0,3000.0,3000.0,2800.0,2800.0,2800.0,2800.0,2850.0,2900.0,2900.0,2950.0,3000.0,3000.0,2995.0,2800.0,2800.0,2900.0,2900.0,3000.0,3000.0,2900.0,2850.0,2800.0,2973.0,2975.0,3000.0,3000.0,3000.0,3000.0,3000.0,3100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2950.0,3000.0,2975.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2800.0,2850.0,2850.0,2844.0,2897.0,2950.0,2950.0,2999.0,2900.0,2800.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449.0,,,2573.0,2523.0,,,,,,,,,,,,2650.0,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.0,,,,,,2100.0,2150.0,2150.0,2400.0,2400.0,2300.0,2300.0,2300.0,2200.0,2300.0,2300.0,2300.0,2375.0,2350.0,2575.0,2550.0,2300.0,2300.0,2399.0,2400.0,2350.0,2350.0,,,2297.0,,,2499.0,2250.0,2200.0,2150.0,2200.0,,,,2500.0,2500.0
Battery Park City,Manhattan,neighborhood,7895.0,8700.0,8500.0,9500.0,10000.0,10000.0,12000.0,11700.0,10000.0,10000.0,10000.0,10000.0,10975.0,9095.0,11950.0,12225.0,12500.0,11000.0,11950.0,11950.0,10450.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10500.0,10250.0,9700.0,9625.0,9995.0,10000.0,10000.0,9995.0,10000.0,10000.0,10000.0,10000.0,10000.0,10750.0,11500.0,10800.0,11200.0,10045.0,10000.0,10500.0,9923.0,11000.0,10000.0,9800.0,10750.0,11000.0,11000.0,11375.0,12500.0,12500.0,12500.0,12500.0,12750.0,11875.0,10800.0,13500.0,12500.0,12500.0,13500.0,13500.0,12500.0,11500.0,12250.0,11950.0,11950.0,11725.0,11000.0,11791.0,11900.0,12000.0,11900.0,11650.0,11750.0,10500.0,10500.0,10800.0,11500.0,11600.0,11700.0,11000.0,11000.0,10450.0,11000.0,11318.0,12068.0,11635.0,11875.0,10900.0,12500.0,10900.0,12500.0,12900.0,12900.0,12500.0,12700.0,12500.0,12500.0,12000.0,12000.0
