areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
All Downtown,Manhattan,submarket,0.1053555751,0.08742714405,0.09771986971,0.08695652174,0.06690777577,0.07462686567,0.08287795993,0.09444985394,0.08786127168,0.1203369434,0.09551886792,0.1004842615,0.08551881414,0.08064516129,0.07142857143,0.07357859532,0.07786885246,0.09065420561,0.1142355009,0.1052173913,0.1475903614,0.1805985552,0.2132352941,0.1666666667,0.1724500526,0.1479028698,0.1270611057,0.1247689464,0.1400928793,0.1440237565,0.132,0.1484745763,0.1813271605,0.1838529177,0.132721202,0.1469838573,0.1770911831,0.1474010861,0.154483798,0.1302931596,0.1388888889,0.125145518,0.1465608466,0.1702462022,0.1759729272,0.196969697,0.1706374759,0.1307323751,0.1622516556,0.1365409623,0.2050837666,0.176046176,0.2014636246,0.1359610275,0.1607732202,0.1819914245,0.219205631,0.2243825539,0.2094117647,0.1322981366,0.148871263,0.1522170748,0.1422716628,0.1198303287,0.1484777518,0.1544715447,0.1554192229,0.2138172278,0.1978417266,0.2364583333,0.2348300971,0.1818753933,0.1869436202,0.179357022,0.1880434783,0.1741093828,0.15625,0.2085371276,0.2203177258,0.2412207358,0.2750229568,0.2800769971,0.2630014859,0.2230769231,0.2146951537,0.189233279,0.1994062345,0.1716141002,0.1830578512,0.2223076923,0.2003710575,0.2312804608,0.2791052364,0.3099630996,0.2985524729,0.2099184783,0.2310513447,0.1901362751,0.1767676768,0.1527313266,0.1435316336,0.1375280899,0.1131840796,0.2072072072,0.2378223496,0.2721636702
All Midtown,Manhattan,submarket,0.1175616836,0.06377204885,0.09523809524,0.06105834464,0.05769230769,0.07848837209,0.09193776521,0.07894736842,0.1141804788,0.114638448,0.1202872531,0.0987432675,0.09807355517,0.06502636204,0.0912106136,0.07467532468,0.07153729072,0.06959152799,0.08771929825,0.08491947291,0.1052631579,0.1566455696,0.1368078176,0.130198915,0.129982669,0.09555189456,0.1191222571,0.1307692308,0.1303680982,0.1257225434,0.112195122,0.1240786241,0.1771812081,0.179144385,0.187250996,0.1497919556,0.1614583333,0.1494252874,0.1493428913,0.1208053691,0.1234428086,0.1112372304,0.129066107,0.1422594142,0.1559202814,0.1970884658,0.1518072289,0.175308642,0.1511627907,0.1361014994,0.1592827004,0.1221294363,0.09537572254,0.130952381,0.1442307692,0.1467391304,0.1892147588,0.1773618538,0.1689189189,0.1566866267,0.1720430108,0.137254902,0.1286764706,0.1121656601,0.1006884682,0.1167883212,0.15,0.1744855967,0.1696352841,0.2330578512,0.208223972,0.1559139785,0.1747747748,0.1709251101,0.1447368421,0.1413484972,0.1324200913,0.1491039427,0.1671532847,0.1863605672,0.2298417483,0.2563338301,0.2313377679,0.1872990354,0.1822222222,0.1697506034,0.1671597633,0.1429577465,0.1538956858,0.1824451411,0.1687817259,0.1870036101,0.2260111023,0.2714285714,0.2596401028,0.2167630058,0.2151658768,0.181,0.1744639376,0.183600713,0.1395348837,0.1362928349,0.1306376361,0.1990521327,0.2136602452,0.2410296412
All Upper East Side,Manhattan,submarket,0.1319796954,0.08972267537,0.107266436,0.0818815331,0.08801498127,0.09698996656,0.102006689,0.08600337268,0.1364452424,0.125,0.09057971014,0.1,0.09183673469,0.07651245552,0.1073825503,0.09854014599,0.07985480944,0.1211072664,0.1214788732,0.1216457961,0.1660305344,0.2040816327,0.1615720524,0.1351351351,0.140969163,0.1454138702,0.1235294118,0.1232604374,0.1033834586,0.1239804241,0.1513687601,0.1896551724,0.1978798587,0.2040816327,0.1448692153,0.1485355649,0.1394422311,0.1255319149,0.156555773,0.1583629893,0.1130742049,0.1188455008,0.1444291609,0.1681759379,0.1786216596,0.1559748428,0.1768901569,0.171561051,0.1723027375,0.1162444113,0.1238390093,0.1055718475,0.1133069829,0.1318681319,0.1624040921,0.1757105943,0.1875,0.1888297872,0.1436464088,0.14375,0.1301775148,0.1487101669,0.1647058824,0.1111111111,0.09112709832,0.1294885745,0.1487068966,0.1856353591,0.2078977933,0.2284153005,0.2093301435,0.1933774834,0.198757764,0.1734820322,0.1596351197,0.1532769556,0.152791381,0.2013170273,0.1998175182,0.2358744395,0.2876588022,0.2552581262,0.2141372141,0.183411215,0.2022099448,0.1632406288,0.1750572082,0.1420454545,0.1518716578,0.1985815603,0.182010582,0.2093908629,0.2074742268,0.274368231,0.2467191601,0.1928460342,0.2276064611,0.1953010279,0.173370319,0.1369863014,0.1121019108,0.1314606742,0.1162046908,0.1745856354,0.1948228883,0.2484316186
All Upper Manhattan,Manhattan,submarket,0.07317073171,0.09202453988,0.1074074074,0.07086614173,0.07604562738,0.09589041096,0.06315789474,0.1106870229,0.1085972851,0.1497797357,0.1219512195,0.07042253521,0.1266968326,0.09633027523,0.1167315175,0.0442804428,0.1397058824,0.0572519084,0.08,0.1071428571,0.1166666667,0.179916318,0.1474103586,0.0971659919,0.09154929577,0.1082802548,0.128742515,0.1464788732,0.118556701,0.1088607595,0.150812065,0.1046770601,0.155216285,0.1811926606,0.1789976134,0.08656036446,0.1164383562,0.08653846154,0.1279620853,0.1122047244,0.1174377224,0.1221640489,0.1084990958,0.1037735849,0.08459869848,0.1807692308,0.1626168224,0.1245136187,0.122278057,0.1226252159,0.102006689,0.1068249258,0.14375,0.1324582339,0.1057692308,0.1345565749,0.1607142857,0.1511511512,0.1664932362,0.1275675676,0.1383399209,0.1271551724,0.1138040042,0.1186071817,0.1073446328,0.1118881119,0.1264894592,0.1129831516,0.1176470588,0.1439732143,0.1563146998,0.1022128556,0.114893617,0.1098654709,0.08917197452,0.1060142712,0.1362799263,0.1452702703,0.1193415638,0.1516853933,0.1591726619,0.169829222,0.1537070524,0.1263259402,0.1524822695,0.1596788582,0.153580673,0.1287313433,0.1519607843,0.1484202792,0.1273381295,0.2095984329,0.1920600858,0.2010362694,0.2487373737,0.1664145234,0.1764705882,0.1606145251,0.1331689273,0.1390804598,0.129459735,0.117260788,0.102006689,0.18,0.1916167665,0.2263109476
All Upper West Side,Manhattan,submarket,0.08376963351,0.1029411765,0.09413854352,0.05892255892,0.07509157509,0.05253940455,0.06382978723,0.06108597285,0.09178743961,0.1235154394,0.08584686775,0.09333333333,0.0824742268,0.08771929825,0.08870967742,0.06956521739,0.08169014085,0.06954436451,0.07186858316,0.1510934394,0.1728395062,0.16,0.1771561772,0.1259079903,0.1244444444,0.1247113164,0.1418439716,0.1471962617,0.1063394683,0.1396648045,0.1684210526,0.1359724613,0.1736401674,0.1934826884,0.1399082569,0.1079136691,0.1330049261,0.1126760563,0.1169724771,0.1540130152,0.1027667984,0.1373626374,0.1677631579,0.1875,0.1888,0.2885802469,0.2147887324,0.1950819672,0.2155172414,0.1773308958,0.1661016949,0.1634782609,0.1651090343,0.1730013106,0.192627824,0.2064516129,0.2184065934,0.2444444444,0.2103610675,0.1778471139,0.1611445783,0.1370967742,0.1479820628,0.1513513514,0.147606383,0.1691542289,0.2177681473,0.2443438914,0.2722772277,0.275862069,0.2670454545,0.2447129909,0.1930618401,0.2183206107,0.1903409091,0.1830790569,0.2019950125,0.2161594963,0.208677686,0.2446043165,0.2887640449,0.2783018868,0.294654498,0.1976744186,0.2256267409,0.2319884726,0.2362416107,0.2199170124,0.1927570093,0.2523659306,0.2274176408,0.306763285,0.3188811189,0.3157181572,0.3078078078,0.2443674177,0.2411003236,0.2216312057,0.2114754098,0.1658767773,0.1905444126,0.1836195509,0.1292775665,0.2220812183,0.3074534161,0.347826087
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.06060606061,0.0,0.0,0.0,0.04347826087,0.09090909091,0.05263157895,0.0,0.0,0.0,0.1,,,,0.07142857143,0.0,0.0,0.0,0.03703703704,0.04347826087,0.09090909091,0.16,0.0,0.12,0.0,0.07142857143,0.05555555556,0.02380952381,0.04761904762,0.1176470588,0.137254902,0.1090909091,0.08333333333,0.08333333333,0.07407407407,0.131147541,0.1216216216,0.1612903226,0.1014492754,0.08,0.08602150538,0.0796460177,0.104,0.05607476636,0.0487804878,0.1526717557,0.1463414634,0.1180555556,0.08994708995,0.07537688442,0.100456621,0.07777777778,0.05985915493,0.08494208494,0.08156028369,0.07166123779,0.09030100334,0.1196581197,0.1081794195,0.07281553398,0.06725146199,0.07219251337,0.09839816934,0.07175925926,0.08518518519,0.05528455285,0.03426124197,0.07416267943,0.132231405,0.1360691145,0.1390041494,0.09135802469,0.1161473088,0.09659090909,0.1542168675,0.1468812877,0.1349206349,0.138576779,0.1464435146,0.143442623,0.1411530815,0.1975736568,0.2036036036,0.134502924,0.1701183432,0.1616915423,0.1428571429,0.1492027335,0.1622222222,0.1578421578,0.1655913978,0.1996644295,0.2352941176,0.2275541796,0.2006980803,0.1992409867,0.2044609665,0.2236842105,0.217585693,0.1756329114,0.2248677249,0.165184244,0.1089385475,0.1644245142,0.2009724473,0.2041666667
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692,,,,,,,,,,,,,,,,0.09090909091,0.3846153846,0.2857142857,0.06666666667,0.0,0.1428571429,,,,,,,0.1818181818,,,0.1875,0.07142857143,0.12,0.07407407407,0.05263157895,0.04
Battery Park City,Manhattan,neighborhood,0.07936507937,0.07575757576,0.05660377358,0.02380952381,0.02325581395,0.02,0.1020408163,0.05357142857,0.02127659574,0.0,0.1282051282,0.06976744186,0.01960784314,0.1041666667,0.05454545455,0.1186440678,0.0625,0.0652173913,0.09615384615,0.1764705882,0.1612903226,0.1764705882,0.3088235294,0.1785714286,0.26,0.1063829787,0.06896551724,0.21875,0.2435897436,0.1627906977,0.1368421053,0.141509434,0.1758241758,0.1494252874,0.08791208791,0.1126760563,0.1686746988,0.1323529412,0.1363636364,0.1111111111,0.152173913,0.07954545455,0.1739130435,0.2075471698,0.1188118812,0.1016949153,0.05,0.1111111111,0.1976744186,0.09411764706,0.06172839506,0.06024096386,0.1043478261,0.06779661017,0.1391304348,0.2038834951,0.1855670103,0.1630434783,0.1686746988,0.2153846154,0.1168831169,0.21875,0.2105263158,0.1341463415,0.1954022989,0.247311828,0.1443298969,0.2277227723,0.247311828,0.25,0.1578947368,0.1494252874,0.421686747,0.2906976744,0.2317073171,0.2150537634,0.1341463415,0.1650485437,0.3333333333,0.1926605505,0.1704545455,0.2405063291,0.2261904762,0.1492537313,0.1486486486,0.2258064516,0.2131147541,0.1571428571,0.1818181818,0.2151898734,0.2352941176,0.2361111111,0.2876712329,0.2467532468,0.2807017544,0.186440678,0.3387096774,0.2419354839,0.1911764706,0.1884057971,0.1527777778,0.08695652174,0.2337662338,0.2470588235,0.2804878049,0.2535211268
