"Month","Neighborhood","Borough","Rooms","medRent"
2010-01-01,"Riverdale","Bronx","Studio",1250
2010-01-01,"Brooklyn Heights","Brooklyn","Studio",1925
2010-01-01,"Downtown Brooklyn","Brooklyn","Studio",1731
2010-01-01,"Greenpoint","Brooklyn","Studio",1450
2010-01-01,"Park Slope","Brooklyn","Studio",1550
2010-01-01,"Sunset Park","Brooklyn","Studio",1500
2010-01-01,"Williamsburg","Brooklyn","Studio",1913
2010-01-01,"Battery Park City","Manhattan","Studio",2550
2010-01-01,"Central Harlem","Manhattan","Studio",1100
2010-01-01,"Central Park South","Manhattan","Studio",2298
2010-01-01,"Chelsea","Manhattan","Studio",2400
2010-01-01,"East Harlem","Manhattan","Studio",1400
2010-01-01,"East Village","Manhattan","Studio",1640
2010-01-01,"Financial District","Manhattan","Studio",2500
2010-01-01,"Flatiron","Manhattan","Studio",2550
2010-01-01,"Gramercy Park","Manhattan","Studio",2400
2010-01-01,"Greenwich Village","Manhattan","Studio",2100
2010-01-01,"Hamilton Heights","Manhattan","Studio",1150
2010-01-01,"Lower East Side","Manhattan","Studio",1695
2010-01-01,"Midtown","Manhattan","Studio",2450
2010-01-01,"Midtown East","Manhattan","Studio",1875
2010-01-01,"Midtown South","Manhattan","Studio",2075
2010-01-01,"Midtown West","Manhattan","Studio",2090
2010-01-01,"Soho","Manhattan","Studio",3400
2010-01-01,"Tribeca","Manhattan","Studio",4198
2010-01-01,"Upper East Side","Manhattan","Studio",1750
2010-01-01,"Upper West Side","Manhattan","Studio",1800
2010-01-01,"West Village","Manhattan","Studio",2400
2010-01-01,"Astoria","Queens","Studio",1142
2010-01-01,"Corona","Queens","Studio",950
2010-01-01,"Long Island City","Queens","Studio",1775
2010-02-01,"Riverdale","Bronx","Studio",1250
2010-02-01,"Brooklyn Heights","Brooklyn","Studio",1900
2010-02-01,"Downtown Brooklyn","Brooklyn","Studio",1765
2010-02-01,"Fort Greene","Brooklyn","Studio",1450
2010-02-01,"Park Slope","Brooklyn","Studio",1600
2010-02-01,"Sunset Park","Brooklyn","Studio",1500
2010-02-01,"Williamsburg","Brooklyn","Studio",1948
2010-02-01,"Battery Park City","Manhattan","Studio",2300
2010-02-01,"Central Harlem","Manhattan","Studio",1100
2010-02-01,"Central Park South","Manhattan","Studio",2300
2010-02-01,"Chelsea","Manhattan","Studio",2200
2010-02-01,"East Harlem","Manhattan","Studio",1400
2010-02-01,"East Village","Manhattan","Studio",1713
2010-02-01,"Financial District","Manhattan","Studio",2400
2010-02-01,"Flatiron","Manhattan","Studio",2500
2010-02-01,"Gramercy Park","Manhattan","Studio",2400
2010-02-01,"Greenwich Village","Manhattan","Studio",2100
2010-02-01,"Hamilton Heights","Manhattan","Studio",1150
2010-02-01,"Little Italy","Manhattan","Studio",1975
2010-02-01,"Lower East Side","Manhattan","Studio",1825
2010-02-01,"Midtown","Manhattan","Studio",2450
2010-02-01,"Midtown East","Manhattan","Studio",1895
2010-02-01,"Midtown South","Manhattan","Studio",2000
2010-02-01,"Midtown West","Manhattan","Studio",2012
2010-02-01,"Nolita","Manhattan","Studio",1750
2010-02-01,"Soho","Manhattan","Studio",3300
2010-02-01,"Tribeca","Manhattan","Studio",3998
2010-02-01,"Upper East Side","Manhattan","Studio",1750
2010-02-01,"Upper West Side","Manhattan","Studio",1800
2010-02-01,"Washington Heights","Manhattan","Studio",1100
2010-02-01,"West Village","Manhattan","Studio",2400
2010-02-01,"Corona","Queens","Studio",950
2010-02-01,"Long Island City","Queens","Studio",1786
2010-03-01,"Riverdale","Bronx","Studio",1250
2010-03-01,"Brooklyn Heights","Brooklyn","Studio",1700
2010-03-01,"Downtown Brooklyn","Brooklyn","Studio",1783
2010-03-01,"DUMBO","Brooklyn","Studio",2788
2010-03-01,"Fort Greene","Brooklyn","Studio",1413
2010-03-01,"Park Slope","Brooklyn","Studio",1500
2010-03-01,"Sunset Park","Brooklyn","Studio",1450
2010-03-01,"Williamsburg","Brooklyn","Studio",2095
2010-03-01,"Battery Park City","Manhattan","Studio",2300
2010-03-01,"Central Harlem","Manhattan","Studio",1050
2010-03-01,"Central Park South","Manhattan","Studio",2448
2010-03-01,"Chelsea","Manhattan","Studio",2200
2010-03-01,"East Harlem","Manhattan","Studio",1400
2010-03-01,"East Village","Manhattan","Studio",1750
2010-03-01,"Financial District","Manhattan","Studio",2300
2010-03-01,"Flatiron","Manhattan","Studio",2495
2010-03-01,"Gramercy Park","Manhattan","Studio",2395
2010-03-01,"Greenwich Village","Manhattan","Studio",2000
2010-03-01,"Hamilton Heights","Manhattan","Studio",1100
2010-03-01,"Little Italy","Manhattan","Studio",3200
2010-03-01,"Lower East Side","Manhattan","Studio",1850
2010-03-01,"Midtown","Manhattan","Studio",2375
2010-03-01,"Midtown East","Manhattan","Studio",1885
2010-03-01,"Midtown South","Manhattan","Studio",1863
2010-03-01,"Midtown West","Manhattan","Studio",2000
2010-03-01,"Nolita","Manhattan","Studio",2345
2010-03-01,"Roosevelt Island","Manhattan","Studio",1615
2010-03-01,"Soho","Manhattan","Studio",3000
2010-03-01,"Tribeca","Manhattan","Studio",3048
2010-03-01,"Upper East Side","Manhattan","Studio",1750
2010-03-01,"Upper West Side","Manhattan","Studio",1795
2010-03-01,"Washington Heights","Manhattan","Studio",1150
2010-03-01,"West Village","Manhattan","Studio",2363
2010-03-01,"Corona","Queens","Studio",950
2010-03-01,"Forest Hills","Queens","Studio",1213
2010-03-01,"Long Island City","Queens","Studio",1950
2010-04-01,"Bedford-Stuyvesant","Brooklyn","Studio",1033
2010-04-01,"Brooklyn Heights","Brooklyn","Studio",1725
2010-04-01,"Clinton Hill","Brooklyn","Studio",2250
2010-04-01,"Downtown Brooklyn","Brooklyn","Studio",1805
2010-04-01,"DUMBO","Brooklyn","Studio",2738
2010-04-01,"Park Slope","Brooklyn","Studio",1500
2010-04-01,"Sunset Park","Brooklyn","Studio",1450
2010-04-01,"Williamsburg","Brooklyn","Studio",2163
2010-04-01,"Battery Park City","Manhattan","Studio",2500
2010-04-01,"Central Harlem","Manhattan","Studio",1068
2010-04-01,"Central Park South","Manhattan","Studio",2350
2010-04-01,"Chelsea","Manhattan","Studio",2295
2010-04-01,"East Village","Manhattan","Studio",1800
2010-04-01,"Financial District","Manhattan","Studio",2300
2010-04-01,"Flatiron","Manhattan","Studio",2550
2010-04-01,"Gramercy Park","Manhattan","Studio",2395
2010-04-01,"Greenwich Village","Manhattan","Studio",2000
2010-04-01,"Hamilton Heights","Manhattan","Studio",1100
2010-04-01,"Little Italy","Manhattan","Studio",3095
2010-04-01,"Lower East Side","Manhattan","Studio",1850
2010-04-01,"Midtown","Manhattan","Studio",2350
2010-04-01,"Midtown East","Manhattan","Studio",1895
2010-04-01,"Midtown South","Manhattan","Studio",2323
2010-04-01,"Midtown West","Manhattan","Studio",2076
2010-04-01,"Nolita","Manhattan","Studio",2475
2010-04-01,"Roosevelt Island","Manhattan","Studio",1695
2010-04-01,"Soho","Manhattan","Studio",2500
