areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
All Downtown,Manhattan,submarket,0.1168195719,0.08732876712,0.1269931663,0.09879912664,0.09482758621,0.07894736842,0.06900800986,0.06546854942,0.09479015919,0.1056439942,0.0985915493,0.07914201183,0.08316151203,0.07826694619,0.09463722397,0.06436931079,0.06883365201,0.06908665105,0.1080921441,0.1086448598,0.1151473612,0.130190007,0.1538461538,0.1329978433,0.1425879397,0.13724267,0.1248612653,0.1147807255,0.1282696177,0.1404466501,0.1258873639,0.1138861139,0.1434977578,0.1493542953,0.1267942584,0.1312078479,0.148340249,0.1401179941,0.1455668284,0.1402439024,0.1221374046,0.1305939788,0.1401648999,0.1648221344,0.1650124069,0.1831290555,0.1558589306,0.1440261866,0.1416829746,0.1383531157,0.1429041818,0.1846153846,0.2106174264,0.1389159364,0.1606199366,0.1675656239,0.1763157895,0.1920159681,0.1856705985,0.1496270294,0.15633636,0.1434528774,0.1412964312,0.127943761,0.1280528053,0.1572066327,0.1713297705,0.1884253028,0.1854719764,0.2308554352,0.2150991143,0.2109375,0.1980598222,0.185546875,0.2025677603,0.1693950178,0.1585492228,0.1953150775,0.2386587771,0.2231665093,0.2508698678,0.2805884464,0.2623012869,0.2190514469,0.2135642136,0.2107392424,0.1949292065,0.1899966432,0.200620155,0.2208643815,0.1978461538,0.2561307902,0.2591240876,0.2995301488,0.2917391304,0.2168224299,0.2305641937,0.2063419118,0.1763740771,0.1646294882,0.1395259939,0.1376838929,0.1114358787,0.1874051593,0.2010166359,0.2300843486
All Midtown,Manhattan,submarket,0.1194968553,0.09391891892,0.1025299601,0.1026757934,0.09281228193,0.07642857143,0.07982893799,0.09628008753,0.09856915739,0.1094650206,0.1058020478,0.088,0.09394205443,0.08896492729,0.0712,0.07567127746,0.06782334385,0.09035687168,0.1003372681,0.09976057462,0.1090317331,0.1350245499,0.1627146361,0.1431034483,0.1346303502,0.1366642175,0.1253462604,0.1284796574,0.09846368715,0.1239115874,0.1264900662,0.1269308261,0.1489841986,0.1571540266,0.1303669009,0.1289282836,0.1397694524,0.1323529412,0.1432225064,0.1237175619,0.1127012522,0.1420798065,0.124137931,0.1494785632,0.137254902,0.1891891892,0.1775407779,0.2015306122,0.1727810651,0.1570344425,0.1503957784,0.1415742208,0.1264966163,0.1464566929,0.1445603577,0.1569826707,0.1773012552,0.1738445378,0.165232358,0.1519337017,0.1539250898,0.1429280397,0.1444180523,0.1150320807,0.1346153846,0.1285195277,0.1509180475,0.1632653061,0.1565050408,0.2361516035,0.2083743842,0.1812080537,0.1681034483,0.1527643065,0.1817754814,0.1588180979,0.1558211598,0.1722861842,0.1991786448,0.2007968127,0.2079164854,0.230266027,0.2273550725,0.1810261375,0.213028169,0.1806684734,0.180293501,0.1630160067,0.1771854175,0.1844919786,0.1725806452,0.200635497,0.2294264339,0.2661737523,0.2990755846,0.2281917966,0.229224763,0.206132879,0.1995895331,0.1792547835,0.1624314898,0.1353955375,0.1168269231,0.1909892262,0.2143269786,0.2403388036
All Upper East Side,Manhattan,submarket,0.138028169,0.1260794473,0.1235955056,0.1060329068,0.1142595978,0.1010544815,0.1170117012,0.08183453237,0.1089808274,0.1151219512,0.1218781219,0.09839167455,0.08409506399,0.07482993197,0.07785467128,0.07939508507,0.1006910168,0.098,0.09919839679,0.1013645224,0.1177142857,0.1553509781,0.1397590361,0.1294583884,0.2006688963,0.1799787007,0.1647509579,0.1549429658,0.1353315168,0.1329739443,0.1623550401,0.1554934823,0.1513569937,0.1632860041,0.1506147541,0.1339869281,0.146294514,0.1205311542,0.1480075901,0.1488812392,0.1237113402,0.140625,0.1462865716,0.1184593023,0.1646390916,0.1976487877,0.2031496063,0.176983435,0.164043082,0.1688715953,0.1550445104,0.1345158906,0.1240981241,0.1406138473,0.1620734908,0.1751025992,0.1735479356,0.1700074239,0.1732882502,0.1527050611,0.1398713826,0.1176961603,0.1220414201,0.117562724,0.1023890785,0.1175656985,0.1355704698,0.1366459627,0.1516272189,0.1977159172,0.1736801836,0.1716666667,0.1492537313,0.1420849421,0.1480686695,0.1656005686,0.1444444444,0.1523867809,0.2185592186,0.2371134021,0.245556287,0.2258953168,0.2284263959,0.172985782,0.1880466472,0.152607362,0.1749644381,0.1620839363,0.1749833666,0.2067645182,0.2071611253,0.2223826715,0.2498072475,0.2789634146,0.2640350877,0.2173489279,0.2215357458,0.1935193519,0.1883936081,0.1577708006,0.1521580102,0.1380301941,0.1268656716,0.2160540135,0.1864125932,0.2427983539
All Upper Manhattan,Manhattan,submarket,0.09473684211,0.1161971831,0.07586206897,0.09398496241,0.07722007722,0.09727626459,0.0608365019,0.06390977444,0.07296137339,0.08108108108,0.08571428571,0.06666666667,0.05714285714,0.09174311927,0.07916666667,0.1129032258,0.08421052632,0.1006944444,0.09252669039,0.08813559322,0.1169811321,0.1287878788,0.1619433198,0.07234042553,0.1091549296,0.1226415094,0.1596385542,0.1035502959,0.09018567639,0.1,0.09907834101,0.09628008753,0.1172069825,0.1421911422,0.07843137255,0.08674698795,0.1182795699,0.1156462585,0.10430839,0.09942638623,0.1139240506,0.116751269,0.08833333333,0.09854014599,0.1342155009,0.1534569983,0.1338155515,0.1077504726,0.1284246575,0.1198686371,0.1134644478,0.1084507042,0.1368421053,0.1134564644,0.114619883,0.08294930876,0.1445086705,0.1448763251,0.1630573248,0.1115434501,0.1094527363,0.1044226044,0.1350114416,0.07986501687,0.08229988726,0.09977578475,0.1176470588,0.1081612586,0.1017653167,0.124341412,0.1490750816,0.1163636364,0.09529411765,0.1091954023,0.1037296037,0.07894736842,0.07061503417,0.09667359667,0.1186440678,0.1421052632,0.1279296875,0.1425661914,0.1202531646,0.1014823261,0.136,0.1375872383,0.1166509878,0.1274014156,0.109919571,0.1165444173,0.1176470588,0.1911764706,0.1577777778,0.192224622,0.2152521525,0.1483050847,0.1585051546,0.1371069182,0.1486988848,0.128959276,0.1232323232,0.1270935961,0.07765151515,0.1559454191,0.1671794872,0.1522988506
All Upper West Side,Manhattan,submarket,0.1014957265,0.1184346035,0.1156716418,0.09233449477,0.1432408236,0.08906525573,0.06916996047,0.102622577,0.07604562738,0.1082802548,0.09881422925,0.09090909091,0.0873655914,0.08894878706,0.08643457383,0.08535031847,0.08854781582,0.07382550336,0.08,0.08852459016,0.1047729919,0.1329113924,0.1763942931,0.1422475107,0.1698595147,0.1850117096,0.16,0.1573033708,0.133726647,0.1290322581,0.1443298969,0.138832998,0.1753986333,0.1657010429,0.1702857143,0.1145958987,0.1358159912,0.1078431373,0.1408730159,0.1352313167,0.109929078,0.135261194,0.1589464124,0.1475256769,0.1338155515,0.2084837545,0.1964117092,0.2272325376,0.2215302491,0.1839738348,0.1895321174,0.1823850351,0.147933285,0.1687707641,0.202507837,0.1789181692,0.2136363636,0.2093206951,0.2001733102,0.1946494465,0.2038429407,0.1495162709,0.1760617761,0.1723636364,0.1828178694,0.1814014407,0.176092545,0.1868211441,0.2157850546,0.2447786132,0.2646520147,0.2210526316,0.2209005947,0.2081218274,0.181448332,0.1825866441,0.2079207921,0.2169878658,0.2365887208,0.283197832,0.2606105733,0.2833948339,0.289968652,0.1817434211,0.2519872814,0.2345779221,0.2113821138,0.2244297277,0.2360831657,0.266025641,0.250164582,0.2698289269,0.3174342105,0.3247293922,0.323943662,0.2921568627,0.3050259965,0.2625899281,0.2610169492,0.2027463651,0.2124513619,0.1855273287,0.1583397387,0.2506063056,0.2490601504,0.2730696798
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.0,0.04545454545,0.02040816327,0.0,0.05263157895,0.0,0.0,0.0,0.04,0.0,0.16,0.04347826087,0.04347826087,0.0,0.0,0.03571428571,0.01612903226,0.01612903226,0.0,0.03703703704,0.03333333333,0.06666666667,0.05555555556,0.09523809524,0.2,0.05714285714,0.08108108108,0.1224489796,0.05454545455,0.0641025641,0.09090909091,0.05555555556,0.07575757576,0.1228070175,0.1076923077,0.03174603175,0.09459459459,0.1290322581,0.05405405405,0.02479338843,0.03759398496,0.02597402597,0.03314917127,0.1438848921,0.08527131783,0.08241758242,0.1361502347,0.04782608696,0.05714285714,0.048,0.08832807571,0.04076086957,0.06487695749,0.07268170426,0.05817174515,0.06596306069,0.100591716,0.08024691358,0.08352668213,0.08200455581,0.1022099448,0.08312958435,0.08695652174,0.08707124011,0.05656108597,0.07489878543,0.05945945946,0.07202216066,0.07905982906,0.1073825503,0.1361502347,0.1143552311,0.1338028169,0.121756487,0.1384015595,0.1102514507,0.09923664122,0.1290322581,0.1098039216,0.1117764471,0.1211538462,0.2061482821,0.2145390071,0.1231028668,0.163372859,0.121919585,0.1138952164,0.1403091558,0.1447513812,0.1502016129,0.1340206186,0.1550094518,0.1965811966,0.2410714286,0.2515151515,0.1799307958,0.1905444126,0.1912568306,0.1552723059,0.1719512195,0.1774383079,0.1294797688,0.07651006711,0.1370481928,0.17,0.187032419
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.07692307692,0.0,,,,,,0.1818181818,,,,0.1875,0.1666666667,,0.07407407407,0.05405405405,0.08333333333
Battery Park City,Manhattan,neighborhood,0.1123595506,0.02380952381,0.05940594059,0.1111111111,0.01111111111,0.05434782609,0.04301075269,0.07207207207,0.06796116505,0.04464285714,0.07216494845,0.09433962264,0.08849557522,0.06976744186,0.1063829787,0.05042016807,0.05882352941,0.08870967742,0.04504504505,0.1680672269,0.185840708,0.1885245902,0.2121212121,0.1779661017,0.2666666667,0.1472868217,0.1398601399,0.1071428571,0.1376811594,0.09271523179,0.08571428571,0.09090909091,0.1512605042,0.1016949153,0.1239669421,0.1875,0.1793103448,0.1282051282,0.1616766467,0.1878787879,0.1172839506,0.1646341463,0.07894736842,0.1123595506,0.1288343558,0.130952381,0.1590909091,0.149068323,0.1515151515,0.1324503311,0.06622516556,0.02097902098,0.06711409396,0.08064516129,0.1071428571,0.08917197452,0.1044776119,0.161971831,0.1290322581,0.1224489796,0.1438848921,0.1804511278,0.1468531469,0.1843971631,0.1029411765,0.2127659574,0.1811594203,0.2196969697,0.1297709924,0.2432432432,0.2307692308,0.2307692308,0.2416666667,0.2442748092,0.1615384615,0.09401709402,0.1081081081,0.1367521368,0.1774193548,0.1230769231,0.1588785047,0.2764227642,0.2518518519,0.1475409836,0.1374045802,0.2444444444,0.1470588235,0.1666666667,0.2347826087,0.1403508772,0.22,0.2710280374,0.1276595745,0.3058823529,0.2842105263,0.2452830189,0.3039215686,0.21875,0.180952381,0.137254902,0.07777777778,0.04494382022,0.05263157895,0.2736842105,0.243902439,0.2073170732
