areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
All Downtown,Manhattan,submarket,2999.0,2975.0,2900.0,2982.0,2995.0,3000.0,3000.0,3000.0,3200.0,3200.0,3100.0,3195.0,3195.0,3200.0,3195.0,3200.0,3200.0,3283.0,3200.0,3250.0,3350.0,3400.0,3300.0,3295.0,3250.0,3250.0,3300.0,3350.0,3350.0,3300.0,3300.0,3295.0,3390.0,3390.0,3300.0,3350.0,3300.0,3328.0,3395.0,3375.0,3350.0,3300.0,3325.0,3400.0,3450.0,3495.0,3525.0,3500.0,3500.0,3500.0,3488.0,3475.0,3464.0,3402.0,3400.0,3450.0,3495.0,3450.0,3410.0,3495.0,3500.0,3500.0,3500.0,3525.0,3500.0,3500.0,3495.0,3595.0,3600.0,3595.0,3550.0,3595.0,3573.0,3600.0,3650.0,3695.0,3675.0,3650.0,3649.0,3535.0,3550.0,3575.0,3500.0,3500.0,3500.0,3568.0,3500.0,3510.0,3500.0,3500.0,3500.0,3550.0,3500.0,3500.0,3495.0,3500.0,3500.0,3583.0,3575.0,3546.0,3500.0,3500.0,3500.0,3560.0,3600.0,3651.0
All Midtown,Manhattan,submarket,2800.0,2800.0,2850.0,2895.0,2900.0,2990.0,3000.0,3008.0,3095.0,3020.0,3000.0,3000.0,3000.0,3000.0,3050.0,3100.0,3200.0,3200.0,3250.0,3250.0,3240.0,3223.0,3250.0,3250.0,3200.0,3200.0,3200.0,3290.0,3348.0,3320.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3355.0,3350.0,3393.0,3393.0,3350.0,3350.0,3385.0,3350.0,3350.0,3400.0,3425.0,3450.0,3500.0,3490.0,3450.0,3400.0,3428.0,3450.0,3490.0,3460.0,3495.0,3495.0,3500.0,3550.0,3551.0,3550.0,3500.0,3500.0,3500.0,3478.0,3495.0,3450.0,3500.0,3500.0,3550.0,3600.0,3575.0,3500.0,3500.0,3500.0,3495.0,3450.0,3490.0,3430.0,3495.0,3500.0,3500.0,3510.0,3509.0,3500.0,3500.0,3495.0,3493.0,3300.0,3338.0,3351.0,3387.0,3375.0,3395.0,3495.0,3500.0,3500.0,3500.0,3550.0,3550.0
All Upper East Side,Manhattan,submarket,2350.0,2300.0,2350.0,2470.0,2500.0,2500.0,2500.0,2490.0,2500.0,2500.0,2400.0,2500.0,2485.0,2400.0,2400.0,2500.0,2600.0,2650.0,2550.0,2600.0,2650.0,2695.0,2700.0,2695.0,2600.0,2650.0,2598.0,2650.0,2600.0,2650.0,2625.0,2600.0,2695.0,2600.0,2613.0,2650.0,2650.0,2750.0,2750.0,2658.0,2695.0,2695.0,2650.0,2750.0,2750.0,2750.0,2700.0,2700.0,2675.0,2695.0,2600.0,2650.0,2625.0,2600.0,2625.0,2550.0,2600.0,2650.0,2700.0,2785.0,2750.0,2825.0,2850.0,2750.0,2750.0,2800.0,2800.0,2850.0,2950.0,2850.0,2800.0,2895.0,2900.0,2895.0,2948.0,2895.0,2850.0,2795.0,2750.0,2749.0,2775.0,2790.0,2800.0,2858.0,2800.0,2800.0,2846.0,2850.0,2800.0,2800.0,2795.0,2795.0,2850.0,2780.0,2795.0,2795.0,2800.0,2750.0,2775.0,2697.0,2695.0,2800.0,2795.0,2795.0,2795.0,2888.0
All Upper Manhattan,Manhattan,submarket,1500.0,1516.0,1545.0,1516.0,1550.0,1575.0,1550.0,1550.0,1600.0,1595.0,1550.0,1500.0,1550.0,1585.0,1600.0,1600.0,1600.0,1600.0,1700.0,1750.0,1795.0,1695.0,1695.0,1650.0,1625.0,1650.0,1700.0,1675.0,1700.0,1650.0,1650.0,1775.0,1725.0,1750.0,1715.0,1695.0,1700.0,1700.0,1700.0,1675.0,1700.0,1750.0,1763.0,1794.0,1800.0,1725.0,1700.0,1700.0,1725.0,1700.0,1675.0,1750.0,1800.0,1787.0,1775.0,1750.0,1750.0,1775.0,1770.0,1750.0,1789.0,1800.0,1800.0,1850.0,1850.0,1900.0,1900.0,1900.0,1895.0,1850.0,1850.0,1850.0,1860.0,1875.0,1921.0,1908.0,1950.0,1950.0,1960.0,1950.0,1921.0,1950.0,1900.0,1950.0,1950.0,1950.0,1925.0,1950.0,1950.0,1950.0,1975.0,1995.0,1975.0,1953.0,1900.0,1913.0,1900.0,1950.0,1950.0,1995.0,2000.0,2000.0,1995.0,1957.0,1950.0,1950.0
All Upper West Side,Manhattan,submarket,2600.0,2550.0,2495.0,2500.0,2500.0,2600.0,2600.0,2650.0,2750.0,2800.0,2800.0,2695.0,2700.0,2750.0,2750.0,2800.0,2800.0,2900.0,2850.0,2925.0,2900.0,2900.0,2950.0,3000.0,3000.0,2960.0,2900.0,2950.0,2900.0,2900.0,2993.0,2950.0,2995.0,2975.0,2995.0,2995.0,2950.0,2975.0,3000.0,3000.0,3000.0,2900.0,2850.0,2950.0,3000.0,3000.0,2950.0,2990.0,2950.0,2995.0,3000.0,3100.0,3100.0,3000.0,2995.0,2995.0,3050.0,3043.0,3000.0,3000.0,3050.0,3100.0,3100.0,3150.0,3150.0,3150.0,3240.0,3250.0,3300.0,3250.0,3200.0,3200.0,3200.0,3200.0,3200.0,3250.0,3230.0,3170.0,3195.0,3195.0,3200.0,3200.0,3130.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3101.0,3100.0,3095.0,3050.0,3140.0,3100.0,3078.0,3095.0,3100.0,3100.0,3100.0,3050.0,3050.0,3150.0,3200.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,1395.0,1450.0,1450.0,1395.0,1400.0,1550.0,1475.0,1450.0,1500.0,1600.0,1545.0,1450.0,1450.0,1450.0,1600.0,1725.0,1875.0,1888.0,1700.0,1850.0,1888.0,1850.0,1800.0,1850.0,1633.0,1795.0,1800.0,1850.0,1800.0,1700.0,1998.0,2000.0,2138.0,2100.0,1950.0,1795.0,1623.0,1700.0,1699.0,1750.0,1900.0,1863.0,1934.0,1900.0,1900.0,1900.0,1850.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1835.0,1800.0,1850.0,1850.0,1800.0,1875.0,1875.0,1875.0,1850.0,1900.0,1900.0,1900.0,2000.0,1900.0,1900.0,1900.0,1900.0,1900.0,1975.0,1950.0,1999.0,1950.0,1995.0,1900.0,1950.0,2000.0,2000.0,2000.0,1995.0,2000.0,1925.0,1900.0,1900.0,1900.0,1900.0,1900.0,1925.0,1900.0,1895.0,1850.0,1843.0,1850.0,1850.0,1850.0,1873.0,1900.0,1850.0,1900.0,1900.0,1938.0,1900.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425.0,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.0,,,1450.0,1400.0,,,,,,1500.0,,,,1550.0,1625.0,1500.0,1500.0,1499.0,1537.0
Battery Park City,Manhattan,neighborhood,2875.0,2800.0,2900.0,2873.0,2800.0,2900.0,2950.0,2975.0,3000.0,3075.0,3000.0,3045.0,2950.0,2895.0,2900.0,2835.0,2950.0,3138.0,3140.0,3150.0,3195.0,3135.0,3000.0,3068.0,3120.0,3155.0,3200.0,3200.0,3200.0,3215.0,3295.0,3308.0,3200.0,3225.0,3200.0,3225.0,3295.0,3200.0,3250.0,3250.0,3448.0,3343.0,3295.0,3350.0,3295.0,3338.0,3368.0,3350.0,3385.0,3325.0,3400.0,3260.0,3300.0,3500.0,3540.0,3500.0,3573.0,3400.0,3295.0,3250.0,3400.0,3500.0,3600.0,3600.0,3713.0,3785.0,3705.0,3798.0,3835.0,3813.0,3800.0,3700.0,3525.0,3600.0,3615.0,3750.0,3825.0,3795.0,3813.0,3683.0,3600.0,3550.0,3525.0,3585.0,3600.0,3575.0,3513.0,3500.0,3575.0,3694.0,3681.0,3600.0,3475.0,3550.0,3462.0,3564.0,3499.0,3475.0,3595.0,3575.0,3698.0,3650.0,3950.0,3950.0,3850.0,3773.0
