areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
All Downtown,Manhattan,submarket,0.1242544732,0.1208791209,0.1333333333,0.07203389831,0.07279029463,0.08013937282,0.0790960452,0.06238185255,0.08761682243,0.09715025907,0.07671957672,0.09143686502,0.08366013072,0.08786610879,0.07,0.07151979566,0.05412054121,0.07352941176,0.06712962963,0.100621118,0.08187134503,0.1004366812,0.1193181818,0.1087267525,0.09974424552,0.0824742268,0.1014669927,0.1061130334,0.102062975,0.1280737705,0.125,0.1291322314,0.09408926417,0.1170848268,0.09370988447,0.1369047619,0.1501035197,0.1349809886,0.1566975569,0.1226851852,0.1066768995,0.1480263158,0.1396776669,0.1366508689,0.1450177936,0.2180385289,0.170433145,0.1772511848,0.1784776903,0.1786621507,0.1718518519,0.1277624309,0.1244582043,0.1341463415,0.1657625075,0.1241464929,0.1635351427,0.1694545455,0.1916214119,0.1656441718,0.1807479224,0.1637168142,0.1607717042,0.1217391304,0.1132300358,0.1225626741,0.1433466591,0.1510663507,0.1724137931,0.2153146323,0.2236220472,0.1992156863,0.2110224801,0.1822558459,0.1726804124,0.1833130329,0.1680672269,0.18630296,0.2172910663,0.1905817175,0.2223684211,0.2779616148,0.2647657841,0.2047413793,0.2265880812,0.2370218579,0.2105263158,0.1864815932,0.18412527,0.2099080695,0.213740458,0.2573964497,0.2790387183,0.2837933475,0.2891072891,0.2342105263,0.2517482517,0.1981292517,0.1919191919,0.1517140773,0.1695906433,0.160291439,0.1167925625,0.1778875849,0.2137823023,0.243978244
All Midtown,Manhattan,submarket,0.0742637644,0.0865497076,0.1124260355,0.09698996656,0.09122807018,0.08685446009,0.09468223087,0.07785234899,0.08976377953,0.08026755853,0.09683426443,0.08988764045,0.07407407407,0.09760589319,0.08417508418,0.07108239095,0.07153284672,0.08769230769,0.07852564103,0.08623298033,0.1047120419,0.1224105461,0.1104761905,0.09523809524,0.1352313167,0.101910828,0.1506849315,0.1451355662,0.125,0.08450704225,0.09779614325,0.1273247496,0.1082317073,0.1376701967,0.1310679612,0.1341256367,0.1104387292,0.08675078864,0.1217765043,0.1285347044,0.121749409,0.09898762655,0.0914696814,0.1089536138,0.1196682464,0.149321267,0.1257344301,0.1710677382,0.1739130435,0.1612223393,0.1668292683,0.1543498597,0.1156336725,0.1332712022,0.1405361495,0.122923588,0.1470070423,0.1704545455,0.1446725318,0.1195335277,0.1242661448,0.1435499515,0.1113122172,0.1011235955,0.09256055363,0.1208702659,0.1200317965,0.1311612364,0.1063829787,0.1438721137,0.1784675073,0.165719697,0.1699115044,0.1528384279,0.1400159109,0.1417133707,0.1342125679,0.1331360947,0.1520244461,0.1734992679,0.1714053615,0.1938943894,0.2001675042,0.1527138914,0.1902439024,0.1602929211,0.1956368754,0.1474219317,0.158002736,0.1684709066,0.1866759195,0.2051683634,0.2116850127,0.2291311755,0.268442623,0.2181628392,0.1958974359,0.1741867786,0.1739562624,0.1671525753,0.1276238455,0.1320437342,0.1006018917,0.1805907173,0.1979166667,0.2108716026
All Upper East Side,Manhattan,submarket,0.1305031447,0.1228070175,0.1445783133,0.1046875,0.09028960818,0.07108239095,0.08274647887,0.07142857143,0.07434944238,0.09174311927,0.1045627376,0.07442748092,0.08969465649,0.0688976378,0.06782608696,0.06451612903,0.07954545455,0.07918968692,0.07592592593,0.09940357853,0.08114035088,0.1216545012,0.1339712919,0.1406649616,0.1285046729,0.1504854369,0.1206896552,0.1440501044,0.1078224101,0.115530303,0.1072607261,0.1054365733,0.1431492843,0.1382765531,0.1310043668,0.09395973154,0.1257367387,0.130977131,0.1254612546,0.1371610845,0.1375579598,0.1244094488,0.1368124118,0.1253333333,0.167218543,0.1473136915,0.157790927,0.1491712707,0.1131147541,0.1239935588,0.1304347826,0.1506849315,0.123501199,0.1328502415,0.1478873239,0.1204055767,0.1699092088,0.1640419948,0.1490857947,0.155922039,0.1022556391,0.1053459119,0.1382681564,0.09814323607,0.1251664447,0.1155717762,0.1222760291,0.09924623116,0.1078014184,0.1406025825,0.1695402299,0.1456,0.1601208459,0.1460176991,0.1554677207,0.1307692308,0.130702836,0.1453692849,0.1836027714,0.2034883721,0.2364341085,0.219160105,0.1790393013,0.2205882353,0.1874062969,0.1603630862,0.1557377049,0.1513513514,0.126340882,0.1598173516,0.1882640587,0.1994421199,0.2325925926,0.2423802612,0.2852348993,0.1992687386,0.2031746032,0.1728,0.201793722,0.1473087819,0.1330749354,0.1508951407,0.131043257,0.1973856209,0.1892697466,0.2241653418
All Upper Manhattan,Manhattan,submarket,0.09589041096,0.04109589041,0.1058823529,0.08955223881,0.09433962264,0.06557377049,0.1090909091,0.02,0.04347826087,0.07547169811,0.04838709677,0.1063829787,0.1086956522,0.0350877193,0.09433962264,0.1129032258,0.1025641026,0.05333333333,0.02631578947,0.1182795699,0.1022727273,0.06024096386,0.06666666667,0.1052631579,0.08333333333,0.06741573034,0.06796116505,0.09473684211,0.1150442478,0.09090909091,0.06557377049,0.05263157895,0.1018518519,0.08620689655,0.0495049505,0.1020408163,0.07936507937,0.04201680672,0.1037037037,0.09677419355,0.07262569832,0.07142857143,0.05263157895,0.09782608696,0.04320987654,0.15,0.1861702128,0.06770833333,0.09045226131,0.07936507937,0.1055045872,0.1009615385,0.104,0.1174089069,0.09540636042,0.1074074074,0.07929515419,0.1383928571,0.1057692308,0.09090909091,0.1235059761,0.06329113924,0.09782608696,0.08108108108,0.07191780822,0.07142857143,0.07076923077,0.08650519031,0.09342560554,0.09266409266,0.1046511628,0.1042471042,0.05426356589,0.1089108911,0.1443661972,0.06028368794,0.09509202454,0.09214092141,0.09281437126,0.09342560554,0.1178571429,0.1380597015,0.130952381,0.1265306122,0.09163346614,0.09893992933,0.07817589577,0.1326860841,0.1274787535,0.09950248756,0.1266490765,0.1533101045,0.1740740741,0.1992481203,0.1957446809,0.1666666667,0.1902654867,0.1572052402,0.1228813559,0.1317829457,0.1566666667,0.1142857143,0.0651465798,0.1442307692,0.1524163569,0.1578947368
All Upper West Side,Manhattan,submarket,0.07908163265,0.1172248804,0.106888361,0.07619047619,0.09045226131,0.1044083527,0.09048723898,0.07692307692,0.08278145695,0.09195402299,0.1302521008,0.07792207792,0.09243697479,0.09126984127,0.07168458781,0.0724137931,0.07788161994,0.06733167082,0.0626566416,0.05063291139,0.1061093248,0.124600639,0.1058823529,0.1471861472,0.1870503597,0.2638436482,0.1786743516,0.1722222222,0.1297297297,0.119804401,0.1231527094,0.110817942,0.1358024691,0.1495327103,0.192926045,0.110738255,0.1387283237,0.1436464088,0.1577669903,0.1569086651,0.1179039301,0.112033195,0.1563786008,0.1666666667,0.1461377871,0.2166998012,0.2350332594,0.2673684211,0.2377919321,0.2021052632,0.2026266417,0.1637080868,0.109375,0.1666666667,0.1851289833,0.151799687,0.1669941061,0.1518438178,0.2254464286,0.1955555556,0.1929824561,0.1473029046,0.1765704584,0.1372239748,0.1505376344,0.1432748538,0.1455882353,0.1146496815,0.1348747592,0.1814516129,0.1824324324,0.2781456954,0.1898989899,0.1919191919,0.2118959108,0.1518324607,0.2103505843,0.1929824561,0.2199312715,0.1996879875,0.2236842105,0.2525879917,0.2709163347,0.1949152542,0.2605363985,0.2534653465,0.2406779661,0.2177419355,0.2204836415,0.2493036212,0.2537537538,0.261732852,0.3062880325,0.2811158798,0.2633832976,0.2505854801,0.2654462243,0.2540415704,0.2613390929,0.2230769231,0.1914893617,0.1913043478,0.1319796954,0.2146050671,0.2367424242,0.246031746
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.08333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05882352941,0.1333333333,0.05882352941,0.1875,,,,0.1666666667,0.1764705882,,0.0,0.1176470588,,0.2105263158,0.1052631579,0.0,0.0,0.04,0.03703703704,0.03225806452,0.0,0.08823529412,0.0303030303,0.03571428571,0.01234567901,0.03448275862,0.1489361702,0.07142857143,0.07407407407,0.07894736842,0.1320754717,0.04166666667,0.1034482759,0.02777777778,0.126984127,0.01639344262,0.07246376812,0.05555555556,0.06896551724,0.1904761905,0.02127659574,0.01851851852,0.1739130435,0.0,0.08888888889,0.1803278689,0.0625,0.05263157895,0.01923076923,0.03921568627,0.03571428571,0.1973684211,0.1134020619,0.1454545455,0.1844660194,0.1348314607,0.1395348837,0.1057692308,0.07142857143,0.1532258065,0.08088235294,0.07913669065,0.12,0.1647058824,0.2,0.1855670103,0.1643835616,0.1830985915,0.1261261261,0.1151079137,0.1680672269,0.1391304348,0.1375,0.1360544218,0.1367521368,0.1707317073,0.1391304348,0.2264150943
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,0.1818181818,0.09090909091,0.09677419355,0.03225806452,0.0303030303,0.07317073171,0.1935483871,0.09090909091,0.0,0.0,0.0,,0.0,0.0,0.07692307692,,,,0.0,0.25,0.2941176471,0.1739130435,0.2380952381,0.0,,0.1176470588,0.1428571429,0.2142857143,0.1785714286,0.1304347826,0.2083333333,,,0.1538461538,0.0,0.1052631579,0.1153846154,0.1428571429,0.1714285714,0.05555555556,0.05405405405,0.08571428571,0.05405405405,0.1052631579,0.125,0.175,0.1176470588,0.1142857143,0.1290322581,0.2068965517,0.15625,0.02666666667,0.0406504065,0.02702702703,0.0652173913,0.05882352941,0.08333333333,0.2413793103,0.2083333333,0.02702702703,0.2051282051,0.09090909091,0.3095238095,0.2564102564,0.09523809524,0.2285714286,0.2666666667,0.2702702703,0.2142857143,0.2903225806,0.15,0.3,0.4583333333,0.3448275862,0.2,0.2142857143,0.1944444444,0.2368421053,0.2941176471,0.1,0.03846153846,0.3103448276,0.21875,0.1428571429,0.1785714286,0.2857142857,0.3125,0.1714285714,0.2068965517,0.4333333333,0.2647058824,0.1363636364,0.3,0.3793103448,0.53125,0.34375,0.2307692308,0.380952381,0.375,0.1578947368,0.1818181818,0.1212121212,0.2058823529,0.09677419355,0.3333333333,0.275862069
